book_title,author,img,price,ratings,no_of_purchase,url,genre
The Trematoda,"English, Paperback, Dawes",https://rukminim1.flixcart.com/image/612/612/jri3jww0/book/2/4/0/the-trematoda-original-imafd9q898xqphzp.jpeg?q=70,"₹4,524",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Ion Channels,"English, Paperback, Aidley David J.",https://rukminim1.flixcart.com/image/612/612/k8q8nm80/book/8/2/1/ion-channels-original-imafqz5z3fghczmr.jpeg?q=70,"₹4,725",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Field and Laboratory Methods in Primatology,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/k0o69ow0/book/0/9/9/field-and-laboratory-methods-in-primatology-original-imafkf7c6yebhrbn.jpeg?q=70,"₹9,351",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Birds of the Indian Hills,"English, Paperback, Dewar Douglas",https://rukminim1.flixcart.com/image/612/612/jtq47m80/book/5/7/1/birds-of-the-indian-hills-original-imaffytakqesutr4.jpeg?q=70,₹290,2.3,(3),https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Aurorae,"English, Paperback, Rand Capron J",https://rukminim1.flixcart.com/image/612/612/xif0q/book/a/f/d/-original-imagmydampzvspr3.jpeg?q=70,₹606,,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
"Journal of Entomology and Zoology, Vol. 11, No. 1, March 1919","English, Paperback, Various",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/b/a/journal-of-entomology-and-zoology-vol-11-no-1-march-1919-original-imagjxgfb3rqjvhy.jpeg?q=70,₹188,,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Marsupials,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jz5vjbk0/book/0/7/0/marsupials-original-imafj89vhafykach.jpeg?q=70,"₹4,625",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
Objective Ncert at Your Fingertips for Neet-Aiims - Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jvtujrk0/book/7/8/9/mtg-objective-ncert-at-your-fingertips-biology-2019-20-original-imafgnaukf9sjfzu.jpeg?q=70,₹711,4.6,"(37,345)",https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
"Ace Physics, Chemistry & Biology Vol 2 for NEET, Class 12 & other Medical Entrance Exams","English, Paperback, Dr. Sahil Agarwal, Er. Pramit Singh, Dr Daljeet Singh, Dr. Ramesh C. Narang, Er. Deepak Agarwal",https://rukminim1.flixcart.com/image/612/612/l3rmzrk0/book/l/v/c/ace-physics-chemistry-biology-vol-2-for-neet-class-12-other-original-imaget4tqgwbufvu.jpeg?q=70,"₹1,300",4.4,(15),https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
12th Std Bio-Zoology Exam Guide – Line by Line Solved Questions – Tamil Medium 2020-21 Edition for Tamilnadu State Board,"Paperback, P. Senthil Kumar, N. Arumugam",https://rukminim1.flixcart.com/image/612/612/kcgk1ow0/book/9/6/2/12th-std-bio-zoology-exam-guide-line-by-line-solved-questions-original-imaftkrmnxx3ww9e.jpeg?q=70,₹330,5,(3),https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
12th / +2 Bio Zoology – Line by Line Solved Questions – Tamilnadu State Board Syllabus,"Paperback, N. Arumugam, P. Senthilkumar",https://rukminim1.flixcart.com/image/612/612/kbcjpu80/book/9/0/0/12th-2-bio-zoology-line-by-line-solved-questions-tamilnadu-state-original-imafspsugfnfjpqf.jpeg?q=70,₹490,4.3,(9),https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=4,zoology
